year,round,from_country_id,from_country,to_country_id,to_country,total_points,tele_points,jury_points,place_final,identifier
2021,final,be,Belgium,ru,Russia,7,0,7,9,2021_final_ru
2021,final,be,Belgium,gr,Greece,0,0,0,10,2021_final_gr
2021,final,be,Belgium,bg,Bulgaria,6,0,6,11,2021_final_bg
2021,final,be,Belgium,pt,Portugal,1,0,1,12,2021_final_pt
2021,final,be,Belgium,md,Moldova,0,0,0,13,2021_final_md
2021,final,be,Belgium,se,Sweden,7,3,4,14,2021_final_se
2021,final,be,Belgium,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,be,Belgium,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,be,Belgium,il,Israel,0,0,0,17,2021_final_il
2021,final,be,Belgium,no,Norway,1,1,0,18,2021_final_no
2021,final,be,Belgium,be,Belgium,0,0,0,19,2021_final_be
2021,final,be,Belgium,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,be,Belgium,al,Albania,0,0,0,21,2021_final_al
2021,final,be,Belgium,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,be,Belgium,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,be,Belgium,es,Spain,0,0,0,24,2021_final_es
2021,final,be,Belgium,de,Germany,0,0,0,25,2021_final_de
2021,final,be,Belgium,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,bg,Bulgaria,it,Italy,22,12,10,1,2021_final_it
2021,final,bg,Bulgaria,fr,France,17,10,7,2,2021_final_fr
2021,final,bg,Bulgaria,ch,Switzerland,3,3,0,3,2021_final_ch
2021,final,bg,Bulgaria,is,Iceland,0,0,0,4,2021_final_is
2021,final,bg,Bulgaria,ua,Ukraine,6,6,0,5,2021_final_ua
2021,final,bg,Bulgaria,fi,Finland,9,8,1,6,2021_final_fi
2021,final,bg,Bulgaria,mt,Malta,5,0,5,7,2021_final_mt
2021,final,bg,Bulgaria,lt,Lithuania,0,0,0,8,2021_final_lt
2021,final,bg,Bulgaria,ru,Russia,7,7,0,9,2021_final_ru
2021,final,bg,Bulgaria,gr,Greece,10,2,8,10,2021_final_gr
2021,final,bg,Bulgaria,bg,Bulgaria,0,0,0,11,2021_final_bg
2021,final,bg,Bulgaria,pt,Portugal,6,0,6,12,2021_final_pt
2021,final,bg,Bulgaria,md,Moldova,12,0,12,13,2021_final_md
2021,final,bg,Bulgaria,se,Sweden,1,1,0,14,2021_final_se
2021,final,bg,Bulgaria,rs,Serbia,5,5,0,15,2021_final_rs
2021,final,bg,Bulgaria,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,bg,Bulgaria,il,Israel,3,0,3,17,2021_final_il
2021,final,bg,Bulgaria,no,Norway,0,0,0,18,2021_final_no
2021,final,bg,Bulgaria,be,Belgium,0,0,0,19,2021_final_be
2021,final,bg,Bulgaria,az,Azerbaijan,4,4,0,20,2021_final_az
2021,final,bg,Bulgaria,al,Albania,0,0,0,21,2021_final_al
2021,final,bg,Bulgaria,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,bg,Bulgaria,nl,Netherlands,2,0,2,23,2021_final_nl
2021,final,bg,Bulgaria,es,Spain,4,0,4,24,2021_final_es
2021,final,bg,Bulgaria,de,Germany,0,0,0,25,2021_final_de
2021,final,bg,Bulgaria,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,hr,Croatia,it,Italy,22,10,12,1,2021_final_it
2021,final,hr,Croatia,fr,France,13,7,6,2,2021_final_fr
2021,final,hr,Croatia,ch,Switzerland,13,5,8,3,2021_final_ch
2021,final,hr,Croatia,is,Iceland,14,4,10,4,2021_final_is
2021,final,hr,Croatia,ua,Ukraine,8,8,0,5,2021_final_ua
2021,final,hr,Croatia,fi,Finland,6,6,0,6,2021_final_fi
2021,final,hr,Croatia,mt,Malta,3,0,3,7,2021_final_mt
2021,final,hr,Croatia,lt,Lithuania,2,0,2,8,2021_final_lt
2021,final,hr,Croatia,ru,Russia,7,3,4,9,2021_final_ru
2021,final,hr,Croatia,gr,Greece,0,0,0,10,2021_final_gr
2021,final,hr,Croatia,bg,Bulgaria,0,0,0,11,2021_final_bg
2021,final,hr,Croatia,pt,Portugal,1,0,1,12,2021_final_pt
2021,final,hr,Croatia,md,Moldova,0,0,0,13,2021_final_md
2021,final,hr,Croatia,se,Sweden,0,0,0,14,2021_final_se
2021,final,hr,Croatia,rs,Serbia,19,12,7,15,2021_final_rs
2021,final,hr,Croatia,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,hr,Croatia,il,Israel,5,0,5,17,2021_final_il
2021,final,hr,Croatia,no,Norway,0,0,0,18,2021_final_no
2021,final,hr,Croatia,be,Belgium,0,0,0,19,2021_final_be
2021,final,hr,Croatia,az,Azerbaijan,2,2,0,20,2021_final_az
2021,final,hr,Croatia,al,Albania,1,1,0,21,2021_final_al
2021,final,hr,Croatia,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,hr,Croatia,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,hr,Croatia,es,Spain,0,0,0,24,2021_final_es
2021,final,hr,Croatia,de,Germany,0,0,0,25,2021_final_de
2021,final,hr,Croatia,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,cy,Cyprus,it,Italy,18,10,8,1,2021_final_it
2021,final,cy,Cyprus,fr,France,15,8,7,2,2021_final_fr
2021,final,cy,Cyprus,ch,Switzerland,2,0,2,3,2021_final_ch
2021,final,cy,Cyprus,is,Iceland,0,0,0,4,2021_final_is
2021,final,cy,Cyprus,ua,Ukraine,6,6,0,5,2021_final_ua
2021,final,cy,Cyprus,fi,Finland,7,4,3,6,2021_final_fi
2021,final,cy,Cyprus,mt,Malta,11,1,10,7,2021_final_mt
2021,final,cy,Cyprus,lt,Lithuania,5,5,0,8,2021_final_lt
2021,final,cy,Cyprus,ru,Russia,9,3,6,9,2021_final_ru
2021,final,cy,Cyprus,gr,Greece,24,12,12,10,2021_final_gr
2021,final,cy,Cyprus,bg,Bulgaria,12,7,5,11,2021_final_bg
2021,final,cy,Cyprus,pt,Portugal,1,0,1,12,2021_final_pt
2021,final,cy,Cyprus,md,Moldova,0,0,0,13,2021_final_md
2021,final,cy,Cyprus,se,Sweden,0,0,0,14,2021_final_se
2021,final,cy,Cyprus,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,cy,Cyprus,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,cy,Cyprus,il,Israel,2,2,0,17,2021_final_il
2021,final,cy,Cyprus,no,Norway,0,0,0,18,2021_final_no
2021,final,cy,Cyprus,be,Belgium,4,0,4,19,2021_final_be
2021,final,cy,Cyprus,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,cy,Cyprus,al,Albania,0,0,0,21,2021_final_al
2021,final,cy,Cyprus,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,cy,Cyprus,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,cy,Cyprus,es,Spain,0,0,0,24,2021_final_es
2021,final,cy,Cyprus,de,Germany,0,0,0,25,2021_final_de
2021,final,cy,Cyprus,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,cz,Czechia,it,Italy,12,6,6,1,2021_final_it
2021,final,cz,Czechia,fr,France,12,2,10,2,2021_final_fr
2021,final,cz,Czechia,ch,Switzerland,8,3,5,3,2021_final_ch
2021,final,cz,Czechia,is,Iceland,15,7,8,4,2021_final_is
2021,final,cz,Czechia,ua,Ukraine,10,10,0,5,2021_final_ua
2021,final,cz,Czechia,fi,Finland,5,4,1,6,2021_final_fi
2021,final,cz,Czechia,mt,Malta,7,0,7,7,2021_final_mt
2021,final,cz,Czechia,lt,Lithuania,1,1,0,8,2021_final_lt
2021,final,cz,Czechia,ru,Russia,7,5,2,9,2021_final_ru
2021,final,cz,Czechia,gr,Greece,8,8,0,10,2021_final_gr
2021,final,cz,Czechia,bg,Bulgaria,4,0,4,11,2021_final_bg
2021,final,cz,Czechia,pt,Portugal,12,0,12,12,2021_final_pt
2021,final,cz,Czechia,md,Moldova,12,12,0,13,2021_final_md
2021,final,cz,Czechia,se,Sweden,0,0,0,14,2021_final_se
2021,final,cz,Czechia,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,cz,Czechia,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,cz,Czechia,il,Israel,0,0,0,17,2021_final_il
2021,final,cz,Czechia,no,Norway,0,0,0,18,2021_final_no
2021,final,cz,Czechia,be,Belgium,3,0,3,19,2021_final_be
2021,final,cz,Czechia,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,cz,Czechia,al,Albania,0,0,0,21,2021_final_al
2021,final,cz,Czechia,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,cz,Czechia,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,cz,Czechia,es,Spain,0,0,0,24,2021_final_es
2021,final,cz,Czechia,de,Germany,0,0,0,25,2021_final_de
2021,final,cz,Czechia,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,dk,Denmark,it,Italy,5,5,0,1,2021_final_it
2021,final,dk,Denmark,fr,France,3,3,0,2,2021_final_fr
2021,final,dk,Denmark,ch,Switzerland,18,6,12,3,2021_final_ch
2021,final,dk,Denmark,is,Iceland,22,12,10,4,2021_final_is
2021,final,dk,Denmark,ua,Ukraine,1,1,0,5,2021_final_ua
2021,final,dk,Denmark,fi,Finland,15,7,8,6,2021_final_fi
2021,final,dk,Denmark,mt,Malta,6,2,4,7,2021_final_mt
2021,final,dk,Denmark,lt,Lithuania,4,4,0,8,2021_final_lt
2021,final,dk,Denmark,ru,Russia,0,0,0,9,2021_final_ru
2021,final,dk,Denmark,gr,Greece,0,0,0,10,2021_final_gr
2021,final,dk,Denmark,bg,Bulgaria,6,0,6,11,2021_final_bg
2021,final,dk,Denmark,pt,Portugal,0,0,0,12,2021_final_pt
2021,final,dk,Denmark,md,Moldova,0,0,0,13,2021_final_md
2021,final,dk,Denmark,se,Sweden,12,10,2,14,2021_final_se
2021,final,dk,Denmark,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,dk,Denmark,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,dk,Denmark,il,Israel,1,0,1,17,2021_final_il
2021,final,dk,Denmark,no,Norway,11,8,3,18,2021_final_no
2021,final,dk,Denmark,be,Belgium,0,0,0,19,2021_final_be
2021,final,dk,Denmark,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,dk,Denmark,al,Albania,7,0,7,21,2021_final_al
2021,final,dk,Denmark,sm,San Marino,5,0,5,22,2021_final_sm
2021,final,dk,Denmark,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,dk,Denmark,es,Spain,0,0,0,24,2021_final_es
2021,final,dk,Denmark,de,Germany,0,0,0,25,2021_final_de
2021,final,dk,Denmark,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,ee,Estonia,it,Italy,11,8,3,1,2021_final_it
2021,final,ee,Estonia,fr,France,17,7,10,2,2021_final_fr
2021,final,ee,Estonia,ch,Switzerland,14,2,12,3,2021_final_ch
2021,final,ee,Estonia,is,Iceland,11,3,8,4,2021_final_is
2021,final,ee,Estonia,ua,Ukraine,9,5,4,5,2021_final_ua
2021,final,ee,Estonia,fi,Finland,19,12,7,6,2021_final_fi
2021,final,ee,Estonia,mt,Malta,1,0,1,7,2021_final_mt
2021,final,ee,Estonia,lt,Lithuania,12,10,2,8,2021_final_lt
2021,final,ee,Estonia,ru,Russia,6,6,0,9,2021_final_ru
2021,final,ee,Estonia,gr,Greece,0,0,0,10,2021_final_gr
2021,final,ee,Estonia,bg,Bulgaria,6,0,6,11,2021_final_bg
2021,final,ee,Estonia,pt,Portugal,5,0,5,12,2021_final_pt
2021,final,ee,Estonia,md,Moldova,0,0,0,13,2021_final_md
2021,final,ee,Estonia,se,Sweden,1,1,0,14,2021_final_se
2021,final,ee,Estonia,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,ee,Estonia,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,ee,Estonia,il,Israel,0,0,0,17,2021_final_il
2021,final,ee,Estonia,no,Norway,4,4,0,18,2021_final_no
2021,final,ee,Estonia,be,Belgium,0,0,0,19,2021_final_be
2021,final,ee,Estonia,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,ee,Estonia,al,Albania,0,0,0,21,2021_final_al
2021,final,ee,Estonia,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,ee,Estonia,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,ee,Estonia,es,Spain,0,0,0,24,2021_final_es
2021,final,ee,Estonia,de,Germany,0,0,0,25,2021_final_de
2021,final,ee,Estonia,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,fi,Finland,it,Italy,14,8,6,1,2021_final_it
2021,final,fi,Finland,fr,France,13,6,7,2,2021_final_fr
2021,final,fi,Finland,ch,Switzerland,19,7,12,3,2021_final_ch
2021,final,fi,Finland,is,Iceland,20,12,8,4,2021_final_is
2021,final,fi,Finland,ua,Ukraine,10,10,0,5,2021_final_ua
2021,final,fi,Finland,fi,Finland,0,0,0,6,2021_final_fi
2021,final,fi,Finland,mt,Malta,1,0,1,7,2021_final_mt
2021,final,fi,Finland,lt,Lithuania,8,5,3,8,2021_final_lt
2021,final,fi,Finland,ru,Russia,5,1,4,9,2021_final_ru
2021,final,fi,Finland,gr,Greece,2,0,2,10,2021_final_gr
2021,final,fi,Finland,bg,Bulgaria,10,0,10,11,2021_final_bg
2021,final,fi,Finland,pt,Portugal,0,0,0,12,2021_final_pt
2021,final,fi,Finland,md,Moldova,2,2,0,13,2021_final_md
2021,final,fi,Finland,se,Sweden,8,3,5,14,2021_final_se
2021,final,fi,Finland,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,fi,Finland,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,fi,Finland,il,Israel,0,0,0,17,2021_final_il
2021,final,fi,Finland,no,Norway,4,4,0,18,2021_final_no
2021,final,fi,Finland,be,Belgium,0,0,0,19,2021_final_be
2021,final,fi,Finland,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,fi,Finland,al,Albania,0,0,0,21,2021_final_al
2021,final,fi,Finland,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,fi,Finland,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,fi,Finland,es,Spain,0,0,0,24,2021_final_es
2021,final,fi,Finland,de,Germany,0,0,0,25,2021_final_de
2021,final,fi,Finland,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,fr,France,it,Italy,10,10,0,1,2021_final_it
2021,final,fr,France,fr,France,0,0,0,2,2021_final_fr
2021,final,fr,France,ch,Switzerland,13,6,7,3,2021_final_ch
2021,final,fr,France,is,Iceland,7,4,3,4,2021_final_is
2021,final,fr,France,ua,Ukraine,12,12,0,5,2021_final_ua
2021,final,fr,France,fi,Finland,1,1,0,6,2021_final_fi
2021,final,fr,France,mt,Malta,0,0,0,7,2021_final_mt
2021,final,fr,France,lt,Lithuania,0,0,0,8,2021_final_lt
2021,final,fr,France,ru,Russia,10,0,10,9,2021_final_ru
2021,final,fr,France,gr,Greece,12,0,12,10,2021_final_gr
2021,final,fr,France,bg,Bulgaria,0,0,0,11,2021_final_bg
2021,final,fr,France,pt,Portugal,16,8,8,12,2021_final_pt
2021,final,fr,France,md,Moldova,7,7,0,13,2021_final_md
2021,final,fr,France,se,Sweden,3,2,1,14,2021_final_se
2021,final,fr,France,rs,Serbia,3,3,0,15,2021_final_rs
2021,final,fr,France,cy,Cyprus,2,0,2,16,2021_final_cy
2021,final,fr,France,il,Israel,10,5,5,17,2021_final_il
2021,final,fr,France,no,Norway,0,0,0,18,2021_final_no
2021,final,fr,France,be,Belgium,6,0,6,19,2021_final_be
2021,final,fr,France,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,fr,France,al,Albania,0,0,0,21,2021_final_al
2021,final,fr,France,sm,San Marino,4,0,4,22,2021_final_sm
2021,final,fr,France,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,fr,France,es,Spain,0,0,0,24,2021_final_es
2021,final,fr,France,de,Germany,0,0,0,25,2021_final_de
2021,final,fr,France,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,ge,Georgia,it,Italy,20,8,12,1,2021_final_it
2021,final,ge,Georgia,fr,France,5,5,0,2,2021_final_fr
2021,final,ge,Georgia,ch,Switzerland,10,0,10,3,2021_final_ch
2021,final,ge,Georgia,is,Iceland,7,1,6,4,2021_final_is
2021,final,ge,Georgia,ua,Ukraine,13,6,7,5,2021_final_ua
2021,final,ge,Georgia,fi,Finland,0,0,0,6,2021_final_fi
2021,final,ge,Georgia,mt,Malta,1,0,1,7,2021_final_mt
2021,final,ge,Georgia,lt,Lithuania,13,10,3,8,2021_final_lt
2021,final,ge,Georgia,ru,Russia,4,4,0,9,2021_final_ru
2021,final,ge,Georgia,gr,Greece,12,12,0,10,2021_final_gr
2021,final,ge,Georgia,bg,Bulgaria,4,0,4,11,2021_final_bg
2021,final,ge,Georgia,pt,Portugal,8,0,8,12,2021_final_pt
2021,final,ge,Georgia,md,Moldova,2,2,0,13,2021_final_md
2021,final,ge,Georgia,se,Sweden,0,0,0,14,2021_final_se
2021,final,ge,Georgia,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,ge,Georgia,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,ge,Georgia,il,Israel,0,0,0,17,2021_final_il
2021,final,ge,Georgia,no,Norway,0,0,0,18,2021_final_no
2021,final,ge,Georgia,be,Belgium,0,0,0,19,2021_final_be
2021,final,ge,Georgia,az,Azerbaijan,8,3,5,20,2021_final_az
2021,final,ge,Georgia,al,Albania,0,0,0,21,2021_final_al
2021,final,ge,Georgia,sm,San Marino,7,7,0,22,2021_final_sm
2021,final,ge,Georgia,nl,Netherlands,2,0,2,23,2021_final_nl
2021,final,ge,Georgia,es,Spain,0,0,0,24,2021_final_es
2021,final,ge,Georgia,de,Germany,0,0,0,25,2021_final_de
2021,final,ge,Georgia,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,de,Germany,it,Italy,13,7,6,1,2021_final_it
2021,final,de,Germany,fr,France,22,10,12,2,2021_final_fr
2021,final,de,Germany,ch,Switzerland,12,2,10,3,2021_final_ch
2021,final,de,Germany,is,Iceland,9,6,3,4,2021_final_is
2021,final,de,Germany,ua,Ukraine,9,4,5,5,2021_final_ua
2021,final,de,Germany,fi,Finland,8,8,0,6,2021_final_fi
2021,final,de,Germany,mt,Malta,8,0,8,7,2021_final_mt
2021,final,de,Germany,lt,Lithuania,13,12,1,8,2021_final_lt
2021,final,de,Germany,ru,Russia,7,5,2,9,2021_final_ru
2021,final,de,Germany,gr,Greece,0,0,0,10,2021_final_gr
2021,final,de,Germany,bg,Bulgaria,0,0,0,11,2021_final_bg
2021,final,de,Germany,pt,Portugal,0,0,0,12,2021_final_pt
2021,final,de,Germany,md,Moldova,0,0,0,13,2021_final_md
2021,final,de,Germany,se,Sweden,4,0,4,14,2021_final_se
2021,final,de,Germany,rs,Serbia,3,3,0,15,2021_final_rs
2021,final,de,Germany,cy,Cyprus,7,0,7,16,2021_final_cy
2021,final,de,Germany,il,Israel,0,0,0,17,2021_final_il
2021,final,de,Germany,no,Norway,1,1,0,18,2021_final_no
2021,final,de,Germany,be,Belgium,0,0,0,19,2021_final_be
2021,final,de,Germany,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,de,Germany,al,Albania,0,0,0,21,2021_final_al
2021,final,de,Germany,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,de,Germany,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,de,Germany,es,Spain,0,0,0,24,2021_final_es
2021,final,de,Germany,de,Germany,0,0,0,25,2021_final_de
2021,final,de,Germany,gb,United Kingdom,0,0,0,26,2021_final_gb
